,init_cond,equilibrium,init_M,init_C,init_T
0,1.0,2.0,0.01,0.01,0.98
1,2.0,2.0,0.060000000000000005,0.01,0.9299999999999999
2,3.0,2.0,0.11,0.01,0.88
3,4.0,2.0,0.16000000000000003,0.01,0.83
4,5.0,2.0,0.21000000000000002,0.01,0.78
5,6.0,2.0,0.26,0.01,0.73
6,7.0,2.0,0.31000000000000005,0.01,0.6799999999999999
7,8.0,2.0,0.36000000000000004,0.01,0.6299999999999999
8,9.0,2.0,0.41000000000000003,0.01,0.58
9,10.0,2.0,0.46,0.01,0.53
10,11.0,2.0,0.51,0.01,0.48
11,12.0,2.0,0.56,0.01,0.42999999999999994
12,13.0,2.0,0.6100000000000001,0.01,0.3799999999999999
13,14.0,2.0,0.66,0.01,0.32999999999999996
14,15.0,2.0,0.7100000000000001,0.01,0.2799999999999999
15,16.0,2.0,0.76,0.01,0.22999999999999998
16,17.0,2.0,0.81,0.01,0.17999999999999994
17,18.0,2.0,0.8600000000000001,0.01,0.1299999999999999
18,19.0,2.0,0.91,0.01,0.07999999999999996
19,20.0,2.0,0.9600000000000001,0.01,0.029999999999999916
20,21.0,2.0,0.01,0.060000000000000005,0.9299999999999999
21,22.0,2.0,0.060000000000000005,0.060000000000000005,0.8799999999999999
22,23.0,2.0,0.11,0.060000000000000005,0.83
23,24.0,2.0,0.16000000000000003,0.060000000000000005,0.7799999999999999
24,25.0,2.0,0.21000000000000002,0.060000000000000005,0.73
25,26.0,2.0,0.26,0.060000000000000005,0.6799999999999999
26,27.0,2.0,0.31000000000000005,0.060000000000000005,0.6299999999999999
27,28.0,2.0,0.36000000000000004,0.060000000000000005,0.5799999999999998
28,29.0,2.0,0.41000000000000003,0.060000000000000005,0.5299999999999999
29,30.0,2.0,0.46,0.060000000000000005,0.4799999999999999
30,31.0,2.0,0.51,0.060000000000000005,0.42999999999999994
31,32.0,2.0,0.56,0.060000000000000005,0.3799999999999999
32,33.0,2.0,0.6100000000000001,0.060000000000000005,0.32999999999999985
33,34.0,2.0,0.66,0.060000000000000005,0.2799999999999999
34,35.0,2.0,0.7100000000000001,0.060000000000000005,0.22999999999999987
35,36.0,2.0,0.76,0.060000000000000005,0.17999999999999994
36,37.0,2.0,0.81,0.060000000000000005,0.1299999999999999
37,38.0,2.0,0.8600000000000001,0.060000000000000005,0.07999999999999985
38,39.0,2.0,0.91,0.060000000000000005,0.029999999999999916
39,40.0,2.0,0.01,0.11,0.88
40,41.0,2.0,0.060000000000000005,0.11,0.83
41,42.0,2.0,0.11,0.11,0.78
42,43.0,2.0,0.16000000000000003,0.11,0.73
43,44.0,2.0,0.21000000000000002,0.11,0.6799999999999999
44,45.0,2.0,0.26,0.11,0.63
45,46.0,2.0,0.31000000000000005,0.11,0.58
46,47.0,2.0,0.36000000000000004,0.11,0.53
47,48.0,2.0,0.41000000000000003,0.11,0.48
48,49.0,2.0,0.46,0.11,0.43
49,50.0,2.0,0.51,0.11,0.38
50,51.0,2.0,0.56,0.11,0.32999999999999996
51,52.0,2.0,0.6100000000000001,0.11,0.2799999999999999
52,53.0,2.0,0.66,0.11,0.22999999999999998
53,54.0,2.0,0.7100000000000001,0.11,0.17999999999999994
54,55.0,2.0,0.76,0.11,0.13
55,56.0,2.0,0.81,0.11,0.07999999999999996
56,57.0,2.0,0.8600000000000001,0.11,0.029999999999999916
57,58.0,2.0,0.01,0.16000000000000003,0.83
58,59.0,2.0,0.060000000000000005,0.16000000000000003,0.7799999999999999
59,60.0,2.0,0.11,0.16000000000000003,0.73
60,61.0,2.0,0.16000000000000003,0.16000000000000003,0.6799999999999999
61,62.0,2.0,0.21000000000000002,0.16000000000000003,0.6299999999999999
62,63.0,2.0,0.26,0.16000000000000003,0.58
