r,d,y,a,g,z,Equilibrium,C,M,eig_1,eig_2,stability,Colour
0.55,0.24,0.77,0,0,0,1,0,0,0.31,0.77,unstable_node,gold
0.55,0.24,0.77,0,0,0,2,0,1,-0.77,-0.24,stable_node,black
0.55,0.24,0.77,0,0,0,3,0.563636364,0,-0.31,0.336,saddle_node,purple
0.55,0.24,0.77,0,0.01,0,1,0,0,0.31,0.76,unstable_node,gold
0.55,0.24,0.77,0,0.01,0,2,0.563636364,0,-0.31,0.313083333,saddle_node,purple
0.55,0.24,0.77,0,0.01,0,3,0,0.987012987,-0.76,-0.232857143,stable_node,black
0.55,0.24,0.77,0,0.02,0,1,0,0,0.31,0.75,unstable_node,gold
0.55,0.24,0.77,0,0.02,0,2,0.563636364,0,-0.31,0.290166667,saddle_node,purple
0.55,0.24,0.77,0,0.02,0,3,0,0.974025974,-0.75,-0.225714286,stable_node,black
0.55,0.24,0.77,0,0.03,0,1,0,0,0.31,0.74,unstable_node,gold
0.55,0.24,0.77,0,0.03,0,2,0.563636364,0,-0.31,0.26725,saddle_node,purple
0.55,0.24,0.77,0,0.03,0,3,0,0.961038961,-0.74,-0.218571429,stable_node,black
0.55,0.24,0.77,0,0.04,0,1,0,0,0.31,0.73,unstable_node,gold
0.55,0.24,0.77,0,0.04,0,2,0.563636364,0,-0.31,0.244333333,saddle_node,purple
0.55,0.24,0.77,0,0.04,0,3,0,0.948051948,-0.73,-0.211428571,stable_node,black
0.55,0.24,0.77,0,0.05,0,1,0,0,0.31,0.72,unstable_node,gold
0.55,0.24,0.77,0,0.05,0,2,0.563636364,0,-0.31,0.221416667,saddle_node,purple
0.55,0.24,0.77,0,0.05,0,3,0,0.935064935,-0.72,-0.204285714,stable_node,black
0.55,0.24,0.77,0,0.06,0,1,0,0,0.31,0.71,unstable_node,gold
0.55,0.24,0.77,0,0.06,0,2,0.563636364,0,-0.31,0.1985,saddle_node,purple
0.55,0.24,0.77,0,0.06,0,3,0,0.922077922,-0.71,-0.197142857,stable_node,black
0.55,0.24,0.77,0,0.07,0,1,0,0,0.31,0.7,unstable_node,gold
0.55,0.24,0.77,0,0.07,0,2,0.563636364,0,-0.31,0.175583333,saddle_node,purple
0.55,0.24,0.77,0,0.07,0,3,0,0.909090909,-0.7,-0.19,stable_node,black
0.55,0.24,0.77,0,0.08,0,1,0,0,0.31,0.69,unstable_node,gold
0.55,0.24,0.77,0,0.08,0,2,0.563636364,0,-0.31,0.152666667,saddle_node,purple
0.55,0.24,0.77,0,0.08,0,3,0,0.896103896,-0.69,-0.182857143,stable_node,black
0.55,0.24,0.77,0,0.09,0,1,0,0,0.31,0.68,unstable_node,gold
0.55,0.24,0.77,0,0.09,0,2,0.563636364,0,-0.31,0.12975,saddle_node,purple
0.55,0.24,0.77,0,0.09,0,3,0,0.883116883,-0.68,-0.175714286,stable_node,black
0.55,0.24,0.77,0,0.1,0,1,0,0,0.31,0.67,unstable_node,gold
0.55,0.24,0.77,0,0.1,0,2,0.563636364,0,-0.31,0.106833333,saddle_node,purple
0.55,0.24,0.77,0,0.1,0,3,0,0.87012987,-0.67,-0.168571429,stable_node,black
0.55,0.24,0.77,0,0.11,0,1,0,0,0.31,0.66,unstable_node,gold
0.55,0.24,0.77,0,0.11,0,2,0.563636364,0,-0.31,0.083916667,saddle_node,purple
0.55,0.24,0.77,0,0.11,0,3,0,0.857142857,-0.66,-0.161428571,stable_node,black
0.55,0.24,0.77,0,0.12,0,1,0,0,0.31,0.65,unstable_node,gold
0.55,0.24,0.77,0,0.12,0,2,0.563636364,0,-0.31,0.061,saddle_node,purple
0.55,0.24,0.77,0,0.12,0,3,0,0.844155844,-0.65,-0.154285714,stable_node,black
0.55,0.24,0.77,0,0.13,0,1,0,0,0.31,0.64,unstable_node,gold
0.55,0.24,0.77,0,0.13,0,2,0.563636364,0,-0.31,0.038083333,saddle_node,purple
0.55,0.24,0.77,0,0.13,0,3,0,0.831168831,-0.64,-0.147142857,stable_node,black
0.55,0.24,0.77,0,0.14,0,1,0,0,0.31,0.63,unstable_node,gold
0.55,0.24,0.77,0,0.14,0,2,0.563636364,0,-0.31,0.015166667,saddle_node,purple
0.55,0.24,0.77,0,0.14,0,3,0,0.818181818,-0.63,-0.14,stable_node,black
0.55,0.24,0.77,0,0.15,0,1,0,0,0.31,0.62,unstable_node,gold
0.55,0.24,0.77,0,0.15,0,2,0.563636364,0,-0.31,-0.00775,stable_node,black
0.55,0.24,0.77,0,0.15,0,3,0,0.805194805,-0.62,-0.132857143,stable_node,black
0.55,0.24,0.77,0,0.15,0,4,0.553571429,0.010064935,0.007220259,-0.319434544,saddle_node,purple
