a,g,z,group
0,0,0,1
0.05,0,0,1
0.1,0,0,1
0.15,0,0,1
0.2,0,0,1
0.25,0,0,1
0.3,0,0,1
0.35,0,0,1
0.4,0,0,1
0.45,0,0,1
0.5,0,0,2
0.55,0,0,2
0.6,0,0,2
0.65,0,0,2
0.7,0,0,2
0.75,0,0,2
0.8,0,0,2
0.85,0,0,2
0.9,0,0,2
0.95,0,0,2
0,0.01,0,3
0.05,0.01,0,3
0.1,0.01,0,3
0.15,0.01,0,3
0.2,0.01,0,3
0.25,0.01,0,3
0.3,0.01,0,3
0.35,0.01,0,3
0.4,0.01,0,3
0.45,0.01,0,3
0.5,0.01,0,4
0.55,0.01,0,4
0.6,0.01,0,4
0.65,0.01,0,4
0.7,0.01,0,4
0.75,0.01,0,4
0.8,0.01,0,4
0.85,0.01,0,4
0.9,0.01,0,4
0.95,0.01,0,4
0,0.02,0,5
0.05,0.02,0,5
0.1,0.02,0,5
0.15,0.02,0,5
0.2,0.02,0,5
0.25,0.02,0,5
0.3,0.02,0,5
0.35,0.02,0,5
0.4,0.02,0,5
0.45,0.02,0,5
0.5,0.02,0,6
0.55,0.02,0,6
0.6,0.02,0,6
0.65,0.02,0,6
0.7,0.02,0,6
0.75,0.02,0,6
0.8,0.02,0,6
0.85,0.02,0,6
0.9,0.02,0,6
0.95,0.02,0,6
0,0.03,0,7
0.05,0.03,0,7
0.1,0.03,0,7
0.15,0.03,0,7
0.2,0.03,0,7
0.25,0.03,0,7
0.3,0.03,0,7
0.35,0.03,0,7
0.4,0.03,0,7
0.45,0.03,0,7
0.5,0.03,0,8
0.55,0.03,0,8
0.6,0.03,0,8
0.65,0.03,0,8
0.7,0.03,0,8
0.75,0.03,0,8
0.8,0.03,0,8
0.85,0.03,0,8
0.9,0.03,0,8
0.95,0.03,0,8
0,0.04,0,9
0.05,0.04,0,9
0.1,0.04,0,9
0.15,0.04,0,9
0.2,0.04,0,9
0.25,0.04,0,9
0.3,0.04,0,9
0.35,0.04,0,9
0.4,0.04,0,9
0.45,0.04,0,9
0.5,0.04,0,10
0.55,0.04,0,10
0.6,0.04,0,10
0.65,0.04,0,10
0.7,0.04,0,10
0.75,0.04,0,10
0.8,0.04,0,10
0.85,0.04,0,10
0.9,0.04,0,10
0.95,0.04,0,10
0,0.05,0,11
0.05,0.05,0,11
0.1,0.05,0,11
0.15,0.05,0,11
0.2,0.05,0,11
0.25,0.05,0,11
0.3,0.05,0,11
